epoch,train f1 score,val f1 score
1,0.5612732635004577,0.6071179344033496
2,0.6412081765483576,0.6845778087927425
3,0.6881928200955965,0.7062107466852756
4,0.7196176141564121,0.732728541521284
5,0.7332451947523645,0.7320307048150733
6,0.7512458049425405,0.7397069085833915
7,0.7630428150106783,0.7536636427076064
8,0.7774839825078816,0.7501744591765527
9,0.7975185599511848,0.7466852756454989
10,0.8135869012508898,0.7585484996510816
11,0.8320960032543476,0.7536636427076064
12,0.860063052984847,0.749476622470342
13,0.8824366927692464,0.735519888346127
14,0.9014542865859859,0.7348220516399162
15,0.9226075460185091,0.7404047452896022
16,0.942845520187125,0.7180739706908583
17,0.9469134546933794,0.7424982554082344
18,0.9567781958710465,0.7229588276343336
19,0.9619648123665209,0.73831123517097
20,0.9634902878063664,0.7341242149337055
